[ESP=00:34:23.668] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00439453125, acc_y: 0.07373046875, acc_z: 1.0185546875, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
[ESP=00:34:23.688] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.506643295288086, acc_x: -0.0048828125, acc_y: 0.0732421875, acc_z: 1.0185546875, gyro_x: 0.6097561120986938, gyro_y: 0.3658536672592163, gyro_z: 0.24390244483947754}
[ESP=00:34:23.708] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.506643295288086, acc_x: -0.0048828125, acc_y: 0.072265625, acc_z: 1.017578125, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
[ESP=00:34:23.728] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.005859375, acc_y: 0.072265625, acc_z: 1.0166015625, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:23.748] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.005859375, acc_y: 0.072265625, acc_z: 1.01806640625, gyro_x: 0.7317073345184326, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:23.768] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00537109375, acc_y: 0.072265625, acc_z: 1.0166015625, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.3048780560493469}
[ESP=00:34:23.788] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.0048828125, acc_y: 0.07275390625, acc_z: 1.01708984375, gyro_x: 0.6707317233085632, gyro_y: 0.3658536672592163, gyro_z: 0.24390244483947754}
[ESP=00:34:23.808] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.0048828125, acc_y: 0.07470703125, acc_z: 1.0185546875, gyro_x: 0.5487805008888245, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:34:23.828] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00537109375, acc_y: 0.07421875, acc_z: 1.01708984375, gyro_x: 0.7317073345184326, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:23.848] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00341796875, acc_y: 0.07421875, acc_z: 1.01611328125, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:23.868] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00537109375, acc_y: 0.07275390625, acc_z: 1.01806640625, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
[ESP=00:34:23.888] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.0048828125, acc_y: 0.07373046875, acc_z: 1.017578125, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:23.908] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.506643295288086, acc_x: -0.00439453125, acc_y: 0.0732421875, acc_z: 1.01708984375, gyro_x: 0.7317073345184326, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
[ESP=00:34:23.928] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.0048828125, acc_y: 0.0732421875, acc_z: 1.0185546875, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
