[ESP=00:06:32.188] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.702899932861328, acc_x_g: 0.1552734375, acc_y_g: 0.98388671875, acc_z_g: -0.08642578125, gyro_x_dps: 0.5487805008888245, gyro_y_dps: 0.3658536672592163, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:32.208] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.15576171875, acc_y_g: 0.98291015625, acc_z_g: -0.08642578125, gyro_x_dps: 0.6097561120986938, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:32.228] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.15478515625, acc_y_g: 0.9833984375, acc_z_g: -0.0849609375, gyro_x_dps: 0.7317073345184326, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:32.248] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.1552734375, acc_y_g: 0.984375, acc_z_g: -0.0859375, gyro_x_dps: 0.6707317233085632, gyro_y_dps: 0.3658536672592163, gyro_z_dps: 0.3658536672592163}
[ESP=00:06:32.268] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.15576171875, acc_y_g: 0.984375, acc_z_g: -0.08642578125, gyro_x_dps: 0.6707317233085632, gyro_y_dps: 0.4878048896789551, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:32.299] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.15576171875, acc_y_g: 0.9833984375, acc_z_g: -0.08544921875, gyro_x_dps: 0.6097561120986938, gyro_y_dps: 0.3658536672592163, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:32.319] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.15478515625, acc_y_g: 0.984375, acc_z_g: -0.08447265625, gyro_x_dps: 0.5487805008888245, gyro_y_dps: 0.4878048896789551, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:32.330] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 27.920000076293945, pressure_hpa: 955.2899780273438}
[ESP=00:06:32.332] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.15478515625, acc_y_g: 0.984375, acc_z_g: -0.08447265625, gyro_x_dps: 0.5487805008888245, gyro_y_dps: 0.4878048896789551, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:32.348] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.15478515625, acc_y_g: 0.98388671875, acc_z_g: -0.08544921875, gyro_x_dps: 0.6707317233085632, gyro_y_dps: 0.3658536672592163, gyro_z_dps: 0.3048780560493469}
[ESP=00:06:32.367] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.15478515625, acc_y_g: 0.984375, acc_z_g: -0.08544921875, gyro_x_dps: 0.6097561120986938, gyro_y_dps: 0.3658536672592163, gyro_z_dps: 0.3048780560493469}
[ESP=00:06:32.378] [Pacifier] topic=Pacifier/0_1/airflow, pacifier=1, type=airflow, values={in0_c: 30.652679443359375, in1_c: 31.342071533203125, in2_c: 27.786895751953125}
[ESP=00:06:32.392] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.1552734375, acc_y_g: 0.98388671875, acc_z_g: -0.08740234375, gyro_x_dps: 0.6097561120986938, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:32.408] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.672706604003906, acc_x_g: 0.1552734375, acc_y_g: 0.984375, acc_z_g: -0.0859375, gyro_x_dps: 0.6097561120986938, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.18292683362960815}
[ESP=00:06:32.427] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.672706604003906, acc_x_g: 0.15478515625, acc_y_g: 0.9833984375, acc_z_g: -0.0859375, gyro_x_dps: 0.6707317233085632, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.18292683362960815}
[ESP=00:06:32.448] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.15478515625, acc_y_g: 0.98388671875, acc_z_g: -0.08544921875, gyro_x_dps: 0.6097561120986938, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:32.468] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.154296875, acc_y_g: 0.98388671875, acc_z_g: -0.08642578125, gyro_x_dps: 0.6707317233085632, gyro_y_dps: 0.3658536672592163, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:32.488] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.15576171875, acc_y_g: 0.984375, acc_z_g: -0.0869140625, gyro_x_dps: 0.6707317233085632, gyro_y_dps: 0.3658536672592163, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:32.507] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.1552734375, acc_y_g: 0.98486328125, acc_z_g: -0.0859375, gyro_x_dps: 0.6707317233085632, gyro_y_dps: 0.3658536672592163, gyro_z_dps: 0.18292683362960815}
[ESP=00:06:32.528] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.15576171875, acc_y_g: 0.984375, acc_z_g: -0.08642578125, gyro_x_dps: 0.5487805008888245, gyro_y_dps: 0.4878048896789551, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:32.548] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.15625, acc_y_g: 0.98388671875, acc_z_g: -0.0849609375, gyro_x_dps: 0.6707317233085632, gyro_y_dps: 0.4878048896789551, gyro_z_dps: 0.24390244483947754}
