[ESP=00:04:38.068] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.65338134765625, acc_x: 0.0576171875, acc_y: 0.0068359375, acc_z: 1.017578125, gyro_x: 0.7317073345184326, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:04:38.088] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.65338134765625, acc_x: 0.0576171875, acc_y: 0.00830078125, acc_z: 1.01611328125, gyro_x: 0.7317073345184326, gyro_y: 0.3658536672592163, gyro_z: 0.24390244483947754}
[ESP=00:04:38.108] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.65338134765625, acc_x: 0.0576171875, acc_y: 0.0068359375, acc_z: 1.01806640625, gyro_x: 0.7317073345184326, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:04:38.128] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.63828468322754, acc_x: 0.05712890625, acc_y: 0.0078125, acc_z: 1.01904296875, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.3048780560493469}
[ESP=00:04:38.148] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.63828468322754, acc_x: 0.05712890625, acc_y: 0.0078125, acc_z: 1.01904296875, gyro_x: 0.5487805008888245, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:04:38.168] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.65338134765625, acc_x: 0.05712890625, acc_y: 0.0068359375, acc_z: 1.01708984375, gyro_x: 0.6707317233085632, gyro_y: 0.3658536672592163, gyro_z: 0.24390244483947754}
[ESP=00:04:38.188] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.65338134765625, acc_x: 0.05859375, acc_y: 0.0078125, acc_z: 1.017578125, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
[ESP=00:04:38.208] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.65338134765625, acc_x: 0.05810546875, acc_y: 0.0078125, acc_z: 1.01904296875, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:04:38.228] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.65338134765625, acc_x: 0.0576171875, acc_y: 0.00830078125, acc_z: 1.01904296875, gyro_x: 0.6097561120986938, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:04:38.248] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.66847801208496, acc_x: 0.056640625, acc_y: 0.00732421875, acc_z: 1.01708984375, gyro_x: 0.6707317233085632, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:04:38.268] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.65338134765625, acc_x: 0.05712890625, acc_y: 0.00634765625, acc_z: 1.01806640625, gyro_x: 0.6097561120986938, gyro_y: 0.3658536672592163, gyro_z: 0.18292683362960815}
[ESP=00:04:38.299] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.66847801208496, acc_x: 0.0576171875, acc_y: 0.0078125, acc_z: 1.01806640625, gyro_x: 0.6097561120986938, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:04:38.319] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.66847801208496, acc_x: 0.05712890625, acc_y: 0.0087890625, acc_z: 1.01953125, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:04:38.329] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 26.579999923706055, pressure_hpa: 955.7000122070312}
[ESP=00:04:38.332] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.66847801208496, acc_x: 0.05712890625, acc_y: 0.0087890625, acc_z: 1.01953125, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:04:38.348] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.66847801208496, acc_x: 0.05810546875, acc_y: 0.00732421875, acc_z: 1.01806640625, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
